pair_id,query_path,reference_path,control_points_path,query_width,query_height,reference_width,reference_height,reference_scale_x,reference_scale_y,control_point_count,query_sha256,reference_sha256,control_points_sha256
01,data/FIMD/01_r_t/01_t.jpg,data/FIMD/01_r_t/01_r.jpg,data/FIMD/01_r_t/control_points_01_r_t.txt,2544,1696,3888,2592,0.654320987654,0.654320987654,12,5bab4d739cc8e31c83c48c172ecfbe41eddb7155903c01c4870d481eb1f6f42e,eb1309fb260bf83b848617f8517d475628dc9b800cb2a45dc91d6c4b180879e6,426b642501798f62f2b3e52de1cb1814feaf45472da39eceddc654405f7c13a7
02,data/FIMD/02_r_t/02_t.jpg,data/FIMD/02_r_t/02_r.jpg,data/FIMD/02_r_t/control_points_02_r_t.txt,2544,1696,3888,2592,0.654320987654,0.654320987654,12,b590120e0a9bd9f547b1ddcc2cdc268165a2b5a1abfafbe44d2825e40e58d3ea,aebbe0119c90cd044fd926ad28b6e197a52f02115b06965619ce97399795e6d0,3622817f55f96c8383afc8a5f831f36b4c867dd79368b29b405e1b377ad121f9
03,data/FIMD/03_r_t/03_t.jpg,data/FIMD/03_r_t/03_r.jpg,data/FIMD/03_r_t/control_points_03_r_t.txt,2544,1696,3888,2592,0.654320987654,0.654320987654,12,3449c622f2bca40a193b81f562f86749e9a4faa9d2eb67897ac2f9694d1f90b8,eb1309fb260bf83b848617f8517d475628dc9b800cb2a45dc91d6c4b180879e6,db8f3f8b505d9577008cb543413cbd7b6221ab9767bbd93a6cebad504a5a0650
04,data/FIMD/04_r_t/04_t.jpg,data/FIMD/04_r_t/04_r.jpg,data/FIMD/04_r_t/control_points_04_r_t.txt,2544,1696,3888,2592,0.654320987654,0.654320987654,12,015749069b7a5ff60e698cbce81ae662d638f24529d4414e2ce8437c3c3191c9,aebbe0119c90cd044fd926ad28b6e197a52f02115b06965619ce97399795e6d0,da8c6f137d8f91c6e17927814621fc2ea1277572d7a91be44e2e90c0e9186fcf
05,data/FIMD/05_r_t/05_t.jpg,data/FIMD/05_r_t/05_r.jpg,data/FIMD/05_r_t/control_points_05_r_t.txt,2592,1728,3888,2592,0.666666666667,0.666666666667,12,72abc676043d77b5f1484fa0bc26eba447cdc3e1d9b6fd08fcf656685344669d,eb1309fb260bf83b848617f8517d475628dc9b800cb2a45dc91d6c4b180879e6,751f7628d18fda31ee96e535ff27bed237169d0002a0b5b9611091b78138ba2f
06,data/FIMD/06_r_t/06_t.jpg,data/FIMD/06_r_t/06_r.jpg,data/FIMD/06_r_t/control_points_06_r_t.txt,2592,1728,3888,2592,0.666666666667,0.666666666667,12,ee9c4a159917bbeaecd9a2bfc504460bcf4c6079a25af866497a81d17af7c584,aebbe0119c90cd044fd926ad28b6e197a52f02115b06965619ce97399795e6d0,c07d6283f6aad34b43e87c50330f7a5c82e10796477114a9665379e9627b5403
07,data/FIMD/07_r_t/07_t.jpg,data/FIMD/07_r_t/07_r.jpg,data/FIMD/07_r_t/control_points_07_r_t.txt,1924,1556,3888,2592,0.494855967078,0.600308641975,12,64de85a49064acd0906d00e1b4ce1a877ef0546fdbce8aee2502346d4636aac8,eb1309fb260bf83b848617f8517d475628dc9b800cb2a45dc91d6c4b180879e6,9e5219f380cc9dd7d5f99feef6c5f344461157bbe8fb962e78c40693fb4b9d8a
08,data/FIMD/08_r_t/08_t.jpg,data/FIMD/08_r_t/08_r.jpg,data/FIMD/08_r_t/control_points_08_r_t.txt,1924,1556,3888,2592,0.494855967078,0.600308641975,12,fc376edf4bbb248eec4e724440a52cdaad97db1eff3cf2eea24b535a5977d228,aebbe0119c90cd044fd926ad28b6e197a52f02115b06965619ce97399795e6d0,0fce5500ebf52551b7712f2df0cebbafe64f0180ea1e5228a62a78ae0e3a856f
09,data/FIMD/09_r_t/09_t.jpg,data/FIMD/09_r_t/09_r.jpg,data/FIMD/09_r_t/control_points_09_r_t.txt,2592,1728,3888,2592,0.666666666667,0.666666666667,12,2e28c28b80f5bc075c3a242eccff884b19353b0bf9e552c05205092f9f413fe2,eb1309fb260bf83b848617f8517d475628dc9b800cb2a45dc91d6c4b180879e6,b5379d3312bb22fc9a561eaedf1152f44938ab1c1f2d9f31e034642202cd85c2
10,data/FIMD/10_r_t/10_t.jpg,data/FIMD/10_r_t/10_r.jpg,data/FIMD/10_r_t/control_points_10_r_t.txt,2592,1728,3888,2592,0.666666666667,0.666666666667,12,2444a6c177d0a90ead91ce621cc1644d7e78fa7af6e7ca9dec4621786315f9a6,aebbe0119c90cd044fd926ad28b6e197a52f02115b06965619ce97399795e6d0,e6d255a0738bcf25aad0de33f15588ae51ec4d717c6e536187a33d0e933f343a
